Gene	HT_Pvalue	MS_Pvalue	Known_MS_gene	known_HT_gene
TET2	0.277	0.00682	YES	
CNOT1	0.182	0.127		
UNC45B	0.182	0.255		
ERRFI1	0.182	0.297		
WDR62	0.182	0.373		
SPNS3	0.182	0.559		
MTRF1	0.182	0.625		
PGBD3	0.182	0.67		
PCDHA10	0.182	0.679		
PDHA2	0.182	0.73		
RNF175	0.182	0.757		
B9D1	0.182	0.771		
EXOC1	0.182	0.963		
IFI16	0.645	0.00696	YES	
KCTD13	0.183	0.01816		
MEP1A	0.183	0.08705		
PCDHB9	0.183	0.105		
CSDA	0.183	0.108		
GAK	0.96	0.00717	YES	
ORAI1	0.183	0.264		
MAPRE3	0.183	0.336		
OR52W1	0.183	0.348		
TFEB	0.183	0.361		
IL8	0.183	0.395		
TSPAN10	0.183	0.452		
PDCD1LG2	0.183	0.496		
WFDC5	0.183	0.618		
GMFB	0.183	0.677		
ZNF524	0.183	0.704		
ARPC5L	0.183	0.718		
ABTB2	0.183	0.728		
NEIL1	0.183	0.916		
LOC441282	0.183	0.918		
PPA2	0.92	0.00766	YES	
PRODH	0.184	0.04017		
NPPB	0.184	0.05212		
ITGB3	0.184	0.0557		
FBN1	0.184	0.06201		
MMP2	0.184	0.136		
ADIPOR1	0.184	0.216		
GRHL3	0.184	0.404		
CYP4F22	0.184	0.412		
SIN3A	0.184	0.441		
GOT2	0.184	0.452		
CCDC104	0.184	0.997		
PHLDA2	0.185	0.00564		
PDZD8	0.185	0.03833		
ALDH3A1	0.185	0.06155		
HAND1	0.185	0.119		
AMAC1	0.185	0.15		
EID1	0.185	0.156		
LRP2BP	0.185	0.241		
PCID2	0.185	0.279		
ARID3B	0.185	0.324		
ADAL	0.185	0.394		
C6orf136	0.185	0.521		
TFG	0.185	0.677		
LYPLAL1	0.185	0.8		
BTNL2	0.186	0.0000001		
HCP5	0.186	0.0000001		
PCDHB8	0.186	0.06841		
WDR48	0.186	0.276		
PRCP	0.186	0.293		
GLRB	0.186	0.457		
RAVER1	0.187	0.000256		
SAG	0.187	0.05051		
GCH1	0.187	0.126		
IQCH	0.187	0.203		
STYK1	0.187	0.258		
MGAT4B	0.187	0.368		
ECE1	0.187	0.385		
POLR2I	0.187	0.385		
GPR157	0.187	0.392		
OR6C6	0.187	0.4		
GPR37L1	0.187	0.425		
DHX36	0.187	0.467		
PMAIP1	0.187	0.509		
C20orf96	0.187	0.539		
NARS	0.187	0.542		
SCAPER	0.187	0.551		
PCDHA2	0.187	0.602		
PCDHA4	0.187	0.604		
SDCCAG3	0.187	0.775		
PCDHA12	0.187	0.817		
N4BP2	0.188	0.01746		
TTLL13	0.188	0.07797		
TTN	0.188	0.07803		
PRDM14	0.188	0.182		
MORC2	0.188	0.265		
IFT52	0.188	0.415		
CIB1	0.188	0.416		
RPS10	0.188	0.498		
OR6C68	0.188	0.499		
PCDHA5	0.188	0.591		
TYRO3	0.188	0.613		
PROX2	0.188	0.708		
RNF180	0.188	0.744		
PDCD6IP	0.188	0.778		
NCOR2	0.188	0.798		
RNF138	0.188	0.807		
MATN3	0.188	0.836		
HLA-A29.1	0.189	0.0000001		
CHRNA9	0.733	0.00816	YES	
LRRC57	0.189	0.09159		
PDGFD	0.189	0.191		
RRP1B	0.189	0.244		
KCTD18	0.189	0.281		
SAP30L	0.189	0.281		
NAPG	0.189	0.351		
ALG2	0.189	0.383		
CCDC137	0.189	0.424		
PDE6G	0.189	0.46		
EBI3	0.189	0.615		
OR6C70	0.189	0.63		
DMGDH	0.189	0.732		
EXPH5	0.189	0.789		
DUSP3	0.189	0.87		
IKZF3	0.294	0.00819	YES	
NFATC1	0.19	0.07182		
SPINK4	0.19	0.145		
KIAA1530	0.19	0.319		
PLXDC2	0.19	0.519		
SEMA6A	0.19	0.604		
PREPL	0.19	0.677		
FCRL1	0.602	0.00878	YES	
DISP2	0.19	0.926		
UBTD2	0.19	0.955		
IL1F10	0.191	0.02102		
SYPL1	0.881	0.00917	YES	
C20orf77	0.191	0.04569		
INCA1	0.191	0.0497		
CTSG	0.191	0.12		
TRPM3	0.191	0.203		
OR8S1	0.191	0.256		
GPC5	0.191	0.262		
FAM82B	0.191	0.324		
MARS2	0.191	0.409		
NPTN	0.191	0.609		
FN3K	0.191	0.635		
PON2	0.191	0.863		
MAN2C1	0.191	0.902		
SLC22A18	0.192	0.01232		
CYBRD1	0.192	0.0207		
AGXT2	0.192	0.02229		
CKB	0.192	0.02412		
LIN37	0.192	0.04672		
GZMH	0.192	0.04868		
YEATS4	0.192	0.07102		
TDRD7	0.192	0.139		
MCM9	0.237	0.00927	YES	
HOXB4	0.192	0.354		
MYC	0.746	0.00933	YES	
C11orf42	0.192	0.423		
VMAC	0.192	0.615		
RNASET2	0.192	0.675		
TMPRSS11A	0.192	0.676		
LOC729085	0.192	0.68		
KCNJ15	0.192	0.74		
SNX11	0.192	0.892		
C6orf105	0.192	0.902		
KLHL36	0.192	0.963		
LY6G6F	0.193	0.0000001		
IL1RN	0.193	0.00342		
HKDC1	0.193	0.02041		
NBL1	0.193	0.04038		
KRT37	0.193	0.141		
SDAD1	0.193	0.263		
TFB1M	0.193	0.35		
TBC1D14	0.412	0.00939	YES	
CORO2B	0.193	0.507		
SYT14L	0.193	0.52		
ATP9B	0.193	0.558		
IRGQ	0.193	0.565		
OR6C76	0.193	0.583		
UVRAG	0.193	0.611		
LOC645296	0.193	0.629		
SERAC1	0.193	0.652		
PEBP4	0.193	0.665		
KIAA1549	0.193	0.77		
CARD9	0.193	0.795		
PCDHA13	0.193	0.798		
AKR1A1	0.193	0.89		
SLC30A9	0.193	0.914		
SFRS5	0.193	0.934		
PPP1R11	0.194	0.000836		
ZNF165	0.194	0.00369		
SLC6A6	0.194	0.0476		
COX4I1	0.194	0.06739		
CHRNB4	0.194	0.115		
NPC2	0.194	0.146		
DGAT2	0.194	0.153		
ZNF286A	0.194	0.4		
SAMD3	0.194	0.407		
HAO2	0.194	0.43		
EPHB1	0.194	0.502		
SLAMF8	0.194	0.548		
LY6D	0.194	0.649		
NDRG1	0.194	0.653		
DGCR6	0.195	0.0668		
PCDHB16	0.195	0.103		
KLHL12	0.195	0.185		
ST14	0.195	0.214		
DBNDD2	0.195	0.297		
CCL3	0.195	0.325		
C15orf58	0.195	0.404		
SGK2	0.195	0.502		
PCDHA9	0.195	0.627		
SHFM1	0.195	0.77		
MPP3	0.195	0.825		
KCND2	0.195	0.948		
CNOT6	0.195	0.997		
RAB22A	0.196	0.109		
VSX1	0.196	0.215		
PCDHB1	0.196	0.255		
CASQ1	0.735	0.00939	YES	
TANC1	0.196	0.476		
CA12	0.196	0.522		
WFDC12	0.196	0.533		
KLF6	0.196	0.639		
CAPS	0.196	0.645		
OR13D1	0.196	0.676		
OR2G2	0.196	0.746		
NRP1	0.196	0.819		
TTC26	0.196	0.83		
LRRC55	0.196	0.854		
ETV3	0.196	0.865		
STC1	0.196	0.998		
MICA	0.197	0.0000001		
PIK3C2B	0.182	0.00944	YES	
PCDHB4	0.197	0.06975		
COX4NB	0.197	0.07164		
RRM2	0.197	0.07493		
NFKBIE	0.197	0.08845		
ZFR2	0.197	0.116		
NAT13	0.197	0.117		
OR2H1	0.197	0.118		
ULK2	0.197	0.144		
MED10	0.197	0.148		
KRT38	0.197	0.165		
JMJD2D	0.197	0.189		
C9orf72	0.197	0.347		
GNAL	0.197	0.352		
C2orf7	0.197	0.429		
RGS8	0.197	0.508		
LALBA	0.197	0.552		
GBX2	0.197	0.643		
TMC5	0.197	0.695		
EPN2	0.197	0.741		
COMMD1	0.197	0.76		
KIAA1919	0.197	0.918		
PCDHB5	0.198	0.062		
RNF220	0.198	0.104		
PRPF19	0.198	0.116		
SLPI	0.198	0.273		
ZNF554	0.198	0.308		
ITPK1	0.198	0.312		
ABCC8	0.198	0.533		
PSMG4	0.198	0.77		
CTSL1	0.198	0.875		
ATHL1	0.199	0.00169		
PCDHB7	0.199	0.03968		
C19orf55	0.199	0.04603		
FEM1C	0.199	0.126		
GPR18	0.199	0.215		
PCDHA1	0.199	0.4		
SNF1LK2	0.199	0.43		
WIF1	0.199	0.53		
PCDHA8	0.199	0.622		
SNAPC4	0.199	0.761		
GJA10	0.2	0.13		
RNF168	0.2	0.316		
LOC728358-2	0.2	0.359		
DEFA1-3	0.2	0.518		
IFRD2	0.708	0.01002	YES	
IQGAP1	0.556	0.01154	YES	
SPSB4	0.2	0.768		
ZNF236	0.2	0.779		
DAB2IP	0.2	0.788		
PCDHAC2	0.2	0.817		
ITPR1	0.277	0.01204	YES	
TAPBPL	0.201	0.000319		
ZP2	0.201	0.02375		
HSPB6	0.201	0.04578		
ZP1	0.201	0.101		
ACOT2	0.201	0.149		
LRRC4B	0.201	0.157		
CCDC58	0.201	0.188		
MAP7	0.201	0.203		
PCMT1	0.201	0.409		
IFIT3	0.201	0.491		
TMPRSS11F	0.201	0.577		
SLC6A19	0.201	0.591		
PCDHA3	0.201	0.592		
ZNF580	0.201	0.62		
LYNX1	0.201	0.665		
C14orf156	0.201	0.667		
ETS1	0.295	0.01218	YES	
PECI	0.201	0.959		
PSPH	0.202	0.00009		
VAMP1	0.202	0.000326		
C6orf60	0.202	0.01429		
CTNND2	0.685	0.01272	YES	
C16orf74	0.202	0.173		
C12orf54	0.202	0.234		
TPP2	0.202	0.616		
SLC25A25	0.202	0.725		
B4GALT2	0.202	0.77		
HCG9	0.203	0.0000001		
PCDHB6	0.203	0.04318		
SENP7	0.01744	0.01284	YES	
KCNG4	0.203	0.156		
KLC1	0.203	0.157		
BPIL2	0.203	0.303		
DEFA1-2	0.203	0.364		
GPD1L	0.203	0.433		
ZNF365	0.249	0.01292	YES	
TMEM168	0.203	0.681		
CCL25	0.203	0.712		
SCYL1	0.203	0.73		
DNLZ	0.203	0.864		
POLR3H	0.204	0.02976		
C19orf63	0.204	0.08174		
ADM	0.204	0.156		
ACACB	0.204	0.201		
C7orf60	0.204	0.308		
ELFN2	0.204	0.404		
ARL8A	0.204	0.405		
TMEM214	0.204	0.49		
HNRNPUL1	0.204	0.645		
CDRT1	0.204	0.72		
C6orf10	0.205	0.0000001		
EIF3A	0.205	0.02276		
MYO7B	0.556	0.01292	YES	
GPR44	0.205	0.147		
FBXL2	0.205	0.213		
PGC	0.205	0.285		
MLLT3	0.205	0.449		
B3GNTL1	0.205	0.452		
MYO5A	0.205	0.456		
POFUT2	0.206	0.03658		
DHX40	0.206	0.06437		
FAM162A	0.206	0.168		
FTH1	0.206	0.25		
LOC92270	0.206	0.431		
PKD2L1	0.206	0.448		
DEFA3	0.206	0.541		
OR6C2	0.206	0.644		
CRNKL1	0.206	0.734		
RBPMS	0.206	0.877		
OR2C3	0.206	0.934		
U2AF1L4	0.207	0.02591		
PTPN9	0.207	0.136		
TREML1	0.207	0.172		
OR5T2	0.207	0.173		
TFCP2L1	0.207	0.238		
OR2W5	0.207	0.252		
BCAS1	0.562	0.01318	YES	
LELP1	0.207	0.46		
OR5M1	0.207	0.754		
KIAA0753	0.207	0.805		
RASSF9	0.207	0.888		
ZNF193	0.208	0.000231		
UPF3A	0.208	0.04101		
PRDM15	0.208	0.115		
HDAC4	0.208	0.127		
UNQ9391	0.208	0.142		
LINGO1	0.208	0.43		
CHURC1	0.208	0.448		
BCL2A1	0.208	0.45		
CNGB1	0.208	0.493		
TRIM71	0.208	0.499		
IL1F8	0.209	0.03017		
EPC2	0.421	0.01347	YES	
WDR5B	0.209	0.159		
LOC642587	0.209	0.167		
MAP6	0.209	0.222		
FOS	0.209	0.254		
NAT1	0.209	0.278		
CCL4	0.209	0.3		
PKIA	0.211	0.0141	YES	
KLRC2	0.209	0.339		
LOC728358-3	0.209	0.531		
TBC1D2	0.209	0.568		
PRDM9	0.209	0.585		
PMPCA	0.209	0.755		
OR6A2	0.209	0.781		
CAPN5	0.209	0.92		
CPSF6	0.21	0.01492		
C2orf64	0.21	0.08981		
C1orf100	0.21	0.163		
C1orf141	0.21	0.179		
CCNE2	0.21	0.207		
MLF1	0.21	0.209		
XRCC3	0.21	0.221		
KLK14	0.21	0.288		
FAM160A1	0.21	0.299		
DHRS12	0.21	0.331		
CCL18	0.21	0.424		
CHSY1	0.21	0.522		
DEFA1-1	0.21	0.542		
RGS4	0.21	0.645		
TFAP2A	0.21	0.654		
VAV3	0.21	0.854		
NTS	0.21	0.939		
SLC16A10	0.21	0.94		
ARSG	0.211	0.00489		
IRF5	0.451	0.0145	YES	
ROCK2	0.757	0.01494	YES	
UPK2	0.211	0.01488		
C11orf49	0.211	0.05966		
PCDHB10	0.211	0.08621		
PCGF2	0.211	0.11		
LRRC50	0.211	0.179		
OR12D2	0.211	0.199		
CLDN22	0.211	0.308		
DEFA5	0.211	0.462		
ARL16	0.211	0.474		
CCDC24	0.211	0.484		
MYO7A	0.211	0.522		
ITGB6	0.211	0.528		
CTSH	0.519	0.0153	YES	
TRIM16	0.211	0.576		
SNW1	0.211	0.693		
PPFIA1	0.211	0.729		
CCDC13	0.211	0.812		
UNC50	0.212	0.06472		
C22orf9	0.212	0.119		
CD300A	0.212	0.193		
DIS3L	0.212	0.218		
PAK2	0.212	0.253		
DMN	0.212	0.296		
SIRT5	0.212	0.328		
BTN2A2	0.212	0.338		
C11orf82	0.212	0.442		
SLC20A1	0.212	0.462		
CDS1	0.212	0.463		
SMAD2	0.212	0.587		
VTI1B	0.212	0.689		
NAT5	0.212	0.767		
C10orf71	0.212	0.776		
RAMP3	0.212	0.853		
CD28	0.42	0.01615	YES	
DPYD	0.213	0.05789		
TNFSF10	0.213	0.146		
ALPL	0.213	0.194		
BOLL	0.213	0.265		
PMVK	0.213	0.392		
RELL1	0.213	0.4		
HGS	0.213	0.421		
OSBPL5	0.213	0.428		
PHLDB3	0.213	0.457		
HRH3	0.213	0.494		
C15orf52	0.213	0.903		
HLA-DRA	0.214	0.0000001		
ATP6V1A	0.214	0.08865		
TMPRSS5	0.214	0.14		
GORASP1	0.214	0.147		
C14orf169	0.214	0.209		
CCDC93	0.214	0.31		
HOXB3	0.214	0.329		
SELP	0.214	0.45		
FADD	0.214	0.646		
MRPL36	0.214	0.759		
NRGN	0.214	0.775		
FMNL3	0.214	0.781		
ZNF16	0.214	0.88		
SLFN5	0.215	0.0743		
ZNF432	0.215	0.129		
KRT32	0.215	0.167		
EXDL1	0.215	0.187		
THSD4	0.215	0.199		
ZBTB44	0.215	0.216		
PIGT	0.215	0.279		
DDX18	0.215	0.296		
KIAA1797	0.215	0.432		
SLC38A7	0.215	0.475		
SNTB2	0.215	0.782		
SLC24A5	0.215	0.804		
CETP	0.215	0.848		
SVEP1	0.215	0.851		
BANK1	0.215	0.903		
FEM1A	0.216	0.01916		
SH3BGR	0.216	0.09621		
ACOT1	0.216	0.128		
FAM71E1	0.216	0.136		
GFM1	0.216	0.205		
PIGX	0.216	0.228		
LXN	0.216	0.275		
FOXC2	0.216	0.397		
DBH	0.216	0.441		
POP4	0.216	0.448		
SEC61B	0.216	0.467		
CDYL	0.216	0.58		
WSB1	0.216	0.586		
TMTC2	0.216	0.659		
AXL	0.216	0.791		
PCDHAC1	0.216	0.826		
TMEFF2	0.216	0.855		
PLCL2	0.317	0.0165	YES	
ABCA4	0.216	0.887		
C3orf30	0.216	0.953		
BAT5	0.217	0.0000001		YES
HTT	0.217	0.02577		
TNFRSF13B	0.217	0.03593		
FLRT2	0.217	0.12		
LDLRAD3	0.217	0.121		
EWSR1	0.217	0.282		
TEK	0.217	0.389		
FMN1	0.217	0.449		
DNAJC5B	0.217	0.604		
OR2AG1	0.217	0.825		
DKFZp564N2472	0.217	0.868		
IFITM5	0.218	0.00249		
SLC17A2	0.218	0.01697		
PRKRA	0.218	0.03647		
NUP50	0.218	0.10127		
CCDC129	0.218	0.157		
OR11H4	0.218	0.168		
DNAJC17	0.218	0.183		
DPYSL5	0.218	0.322		
ANKFY1	0.218	0.424		
CSNK1A1L	0.218	0.63		
BBX	0.218	0.68		
PTPRG	0.218	0.785		
EIF4G2	0.218	0.826		
ACYP1	0.218	0.866		
USP46	0.218	0.884		
KIAA1409	0.218	0.935		
IL12RB2	0.218	0.98		
ICAM3	0.219	0.000201		
CD200	0.468	0.01654	YES	
TBCE	0.189	0.01768	YES	
PIP4K2B	0.219	0.18		
SLC37A2	0.219	0.259		
TTC23	0.219	0.344		
SLC6A2	0.219	0.548		
ABLIM3	0.219	0.57		
CDH3	0.88	0.01901	YES	
GALNT13	0.219	0.634		
FN3KRP	0.219	0.691		
C4orf42	0.219	0.698		
HSD17B7	0.219	0.862		
C9orf3	0.219	0.977		
POU5F1	0.22	0.0000001		
TNKS	0.22	0.000977		
AATK	0.22	0.00451		
C14orf172	0.22	0.04165		
BAG1	0.22	0.15		
OR5T3	0.22	0.176		
FBXO7	0.22	0.198		
UBP1	0.22	0.201		
C3orf43	0.22	0.229		
CCDC12	0.551	0.01946	YES	
FAM48A	0.22	0.249		
GCHFR	0.22	0.26		
KIF3B	0.22	0.317		
IPP	0.22	0.337		
GPR88	0.22	0.635		
ARHGAP24	0.348	0.0244	YES	
NGRN	0.221	0.078		
FAM154B	0.221	0.128		
TAF1C	0.221	0.174		
DDA1	0.221	0.185		
IFI6	0.221	0.341		
RAB37	0.221	0.488		
ALKBH1	0.221	0.523		
PCDHA7	0.221	0.646		
RFTN2	0.221	0.656		
DEFA6	0.221	0.675		
PEX26	0.221	0.947		
LYRM4	0.221	0.981		
TTC18	0.222	0.01654		
PI15	0.222	0.06827		
ABHD8	0.222	0.115		
ZNF350	0.222	0.188		
PACSIN2	0.222	0.26		
CCL20	0.222	0.337		
RAET1E	0.222	0.341		
DNTT	0.222	0.368		
TRHDE	0.222	0.496		
UBR5	0.222	0.528		
CHAT	0.222	0.645		
C21orf59	0.222	0.823		
CD27	0.223	0.000306		
CCBE1	0.223	0.03502		
LRPPRC	0.223	0.03773		
XPO4	0.223	0.111		
TLL1	0.223	0.271		
L3MBTL4	0.223	0.302		
EXTL1	0.223	0.343		
TIPIN	0.223	0.346		
PRKCB1	0.223	0.387		
SNAP91	0.223	0.406		
TMEM125	0.223	0.444		
GPX2	0.223	0.464		
TRIM55	0.223	0.558		
BOC	0.223	0.617		
KCTD14	0.223	0.68		
PIGU	0.223	0.776		
UCK1	0.223	0.85		
BASP1	0.223	0.868		
AOF1	0.223	0.915		
LZTFL1	0.508	0.02442	YES	
PTPRC	0.224	0.04026		
PPFIA3	0.224	0.08379		
EIF5	0.224	0.09097		
LOC554235	0.224	0.105		
RTN4IP1	0.224	0.144		
BTN3A2	0.224	0.166		
KRT31	0.224	0.346		
C17orf90	0.224	0.393		
EBF3	0.224	0.436		
GPRIN3	0.224	0.488		
C9orf105	0.224	0.62		
NCAM1	0.224	0.67		
FBXO42	0.224	0.789		
MAP4K5	0.224	0.819		
MPPE1	0.224	0.93		
DAGLB	0.224	0.955		
PPP2CA	0.225	0.000088		
MARCO	0.225	0.01009		
KIAA0408	0.225	0.02634		
FLJ36031	0.225	0.07074		
DDR2	0.225	0.10213		
HEATR4	0.225	0.106		
LIN7B	0.225	0.106		
ZNF615	0.225	0.179		
CHP	0.225	0.182		
KIAA1468	0.225	0.212		
TAAR2	0.225	0.383		
LRP11	0.225	0.406		
CCDC147	0.225	0.42		
RAB15	0.225	0.51		
TC2N	0.225	0.511		
IQCJ	0.225	0.693		
WDR69	0.225	0.758		
CCL16	0.225	0.873		
KANK4	0.225	0.898		
PLEKHM1	0.225	0.957		
A2M	0.226	0.275		
GPRC5C	0.226	0.276		
ZNRF4	0.226	0.392		
CCR3	0.226	0.426		
EPDR1	0.226	0.476		
MURC	0.226	0.666		
RASGEF1C	0.226	0.669		
NPTX1	0.226	0.73		
FAM101A	0.226	0.794		
C2orf52	0.226	0.865		
ELMO1	0.0751	0.02817	YES	
ASF1A	0.227	0.01062		
PBXIP1	0.227	0.392		
OPALIN	0.227	0.44		
PDXK	0.227	0.458		
KRT71	0.227	0.547		
CENPO	0.205	0.0282	YES	
OR5AU1	0.228	0.02231		
CREB5	0.228	0.10315		
TCTE1	0.228	0.204		
BEST1	0.228	0.227		
PLEKHG1	0.228	0.292		
IGSF8	0.228	0.313		
ZNF555	0.228	0.324		
B4GALT1	0.228	0.394		
ST7	0.228	0.429		
IGFBP2	0.228	0.461		
KIAA0831	0.228	0.468		
MPPED1	0.228	0.539		
METTL10	0.228	0.551		
ZFPL1	0.228	0.696		
NDUFS6	0.228	0.732		
USP7	0.228	0.829		
C1orf150	0.228	0.857		
ECD	0.229	0.0164		
KRT13	0.229	0.124		
FBXO38	0.229	0.148		
C2orf16	0.229	0.225		
RAC2	0.229	0.264		
C1orf210	0.229	0.339		
RAB6B	0.229	0.368		
TMC8	0.229	0.39		
ASB13	0.229	0.404		
NTRK2	0.229	0.436		
ZNF556	0.229	0.516		
NLGN2	0.229	0.517		
KIAA0574	0.229	0.675		
KIAA0774	0.229	0.697		
RDH12	0.229	0.775		
NUDT13	0.23	0.01605		
HSD17B3	0.23	0.08145		
DYM	0.23	0.09504		
ATP1A2	0.23	0.103		
TM9SF2	0.557	0.02895	YES	
TMEM77	0.23	0.15		
ZMAT4	0.23	0.161		
LOC137886	0.23	0.179		
MRPL34	0.23	0.19		
NPLOC4	0.23	0.204		
GTF2H3	0.23	0.209		
GAS2L1	0.23	0.268		
TMOD3	0.23	0.317		
FAU	0.23	0.375		
SLC30A2	0.23	0.403		
KDELC2	0.23	0.488		
HIGD1A	0.23	0.804		
SCN8A	0.23	0.815		
ZRANB2	0.23	0.901		
FER	0.162	0.02954	YES	
NBEAL1	0.231	0.02247		
MLX	0.231	0.04177		
DLG5	0.231	0.09859		
CDK5R2	0.231	0.196		
C4orf15	0.231	0.247		
MEIS2	0.231	0.535		
SARDH	0.231	0.546		
SKAP1	0.231	0.563		
MMS19	0.231	0.605		
POMT1	0.231	0.734		
DKK2	0.231	0.901		
DNAJC9	0.232	0.0145		
JOSD2	0.232	0.107		
SLAMF6	0.232	0.12		
ADIPOR2	0.232	0.139		
POLN	0.232	0.268		
MFSD10	0.232	0.403		
FOXL1	0.232	0.426		
TM7SF2	0.232	0.623		
DEFA4	0.232	0.648		
C11orf2	0.232	0.648		
ATP2B1	0.232	0.675		YES
ADAM30	0.232	0.765		
FRY	0.232	0.956		
STK39	0.45	0.02967	YES	
PSMD9	0.233	0.02396		
C8orf34	0.233	0.102		
LIMK2	0.495	0.02973	YES	
MKI67	0.233	0.199		
ZNF366	0.233	0.223		
RCBTB1	0.233	0.227		
LTC4S	0.233	0.338		
ORC5L	0.233	0.346		
SACM1L	0.472	0.03036	YES	
CACNB4	0.233	0.92		
MAB21L2	0.233	0.957		
PLEKHG6	0.234	0.0000001		
VEZT	0.234	0.00623		
PSMB3	0.234	0.124		
PAK1IP1	0.234	0.14		
CENTB1	0.234	0.149		
FOXN3	0.234	0.156		
AIM1	0.234	0.212		
FH	0.234	0.219		
ERAP2	0.234	0.241		
TRIM63	0.234	0.412		
DUSP16	0.234	0.437		
TOX	0.234	0.444		
FGFBP3	0.234	0.512		
NDE1	0.234	0.761		
IGFBP5	0.234	0.774		
OR52D1	0.234	0.8		
PTPN1	0.578	0.03069	YES	
C6orf26	0.235	0.0000001		
DNAJB14	0.07617	0.03082	YES	
TREM2	0.235	0.182		
SLC4A9	0.235	0.187		
BAIAP2	0.235	0.19		
OR10C1	0.235	0.207		
SIRPB2	0.235	0.631		
JUN	0.235	0.636		
RAPGEF1	0.235	0.646		
OMP	0.235	0.889		
KNCN	0.235	0.89		
IGSF11	0.235	0.89		
RAC1	0.235	0.922		
SCNN1A	0.236	0.000002		
TMEM16H	0.236	0.113		
ZNF614	0.236	0.114		
STAT4	0.213	0.03201	YES	
PABPC4L	0.236	0.206		
PLVAP	0.236	0.41		
TGM3	0.236	0.491		
PLEKHG5	0.07836	0.03302	YES	
MOSC2	0.236	0.602		
PLAU	0.237	0.00597		
ANKRD55	0.349	0.03341	YES	
WDR92	0.237	0.07236		
FLJ10490	0.237	0.09492		
C10orf25	0.237	0.18		
LDB3	0.237	0.315		
STX2	0.237	0.334		
RPL15	0.237	0.352		
OXR1	0.237	0.363		
TGFBR1	0.237	0.367		
CREG1	0.237	0.403		
EPYC	0.237	0.413		
SLC13A5	0.237	0.501		
ANGPTL7	0.237	0.551		
ADO	0.405	0.03409	YES	
DCTN4	0.237	0.797		
FBXO16	0.237	0.895		
HLA-G	0.238	0.0000001		
RCN2	0.238	0.21		
FLJ43582	0.238	0.362		
COMMD9	0.238	0.578		
RELN	0.238	0.8		
GRB2	0.209	0.03431	YES	
NAB1	0.08258	0.0352	YES	
HDAC7	0.239	0.02153		
PLSCR3	0.239	0.217		
C17orf61	0.239	0.238		
ANK3	0.239	0.466		
SQSTM1	0.239	0.476		
ARHGEF19	0.239	0.481		
BHMT2	0.239	0.486		
STK33	0.239	0.67		
FBN3	0.239	0.802		
HRH4	0.239	0.881		
ZW10	0.24	0.109		
KCTD11	0.24	0.155		
DOK6	0.24	0.252		
AGGF1	0.24	0.584		
GLT25D1	0.24	0.596		
CR1L	0.191	0.03527	YES	
ADH4	0.24	0.777		
ARL6IP5	0.24	0.796		
SLC2A3	0.24	0.845		
DKFZP564O0823	0.24	0.89		
C6orf125	0.241	0.001285		
ZNF346	0.241	0.145		
FBLN5	0.241	0.241		
ITIH2	0.241	0.286		
C2orf51	0.241	0.298		
SPEM1	0.241	0.535		
WDSUB1	0.241	0.616		
SGOL1	0.241	0.632		
ERCC6	0.241	0.777		
UBA3	0.241	0.814		
INPP4A	0.242	0.158		
RGS5	0.242	0.258		
SCARA3	0.242	0.352		
TMTC3	0.242	0.531		
TPMT	0.242	0.554		
GPRC5A	0.242	0.555		
SRRM1	0.242	0.636		
C20orf46	0.242	0.822		
RD3	0.242	0.964		
FGFR4	0.243	0.05342		
KIAA1627	0.243	0.198		
PRDM8	0.955	0.03539	YES	
SCMH1	0.243	0.644		
RHOH	0.371	0.03791	YES	
LOC391356	0.244	0.0234		
SLC25A30	0.244	0.05361		
LINGO2	0.244	0.08996		
SNRP70	0.244	0.153		
KLHL6	0.244	0.245		
MOSC1	0.244	0.6		
ZNHIT2	0.244	0.613		
C1orf89	0.244	0.693		
RDH11	0.244	0.748		
TFDP1	0.244	0.769		
TBCD	0.244	0.785		
LOC129293	0.244	0.819		
FLJ20489	0.245	0.02132		
GGPS1	0.245	0.0397		
RAPGEF3	0.245	0.05613		
SLC35D2	0.245	0.11428		
KRT35	0.245	0.121		
DIP2A	0.245	0.149		
FGR	0.245	0.273		
CREM	0.245	0.357		
YEATS2	0.245	0.567		
CNIH4	0.245	0.759		
LPAR3	0.245	0.772		
SPAG9	0.245	0.8		
ARPP-21	0.245	0.81		
KLRG2	0.245	0.964		
MSH5	0.246	0.0000001		
ABCF1	0.246	0.000002		
HSD17B1	0.246	0.002021		
FAM149B1	0.246	0.01478		
C3orf32	0.246	0.07544		
TMEM218	0.246	0.167		
PTPN4	0.246	0.189		
REST	0.246	0.278		
CDC42EP5	0.246	0.289		
SYVN1	0.246	0.357		
NOL7	0.246	0.37		
HNRNPA2B1	0.246	0.437		
FRS3	0.246	0.515		
SHQ1	0.246	0.543		
PLEKHA1	0.246	0.661		
CD5	0.718	0.03823	YES	
MST150	0.246	0.763		
RNF34	0.246	0.839		
FAM164C	0.246	0.905		
PTRF	0.247	0.000277		
SEMA3A	0.247	0.165		
FZR1	0.247	0.278		
LOC126075	0.247	0.399		
NFE2L3	0.247	0.441		
AZI2	0.247	0.486		
OR5D14	0.247	0.531		
LOH12CR1	0.247	0.535		
C6orf173	0.247	0.541		
SLC22A9	0.247	0.604		
ADAM19	0.247	0.711		
DAZL	0.247	0.749		
SELV	0.247	0.866		
UHRF1	0.248	0.03724		
SLC14A1	0.248	0.14		
